id,nombre_contenedor,tipo,estado,descripcionC,created_at,updated_at,empresa_id,generador_id,telemetria_id,set_point,latitud,longitud,ultima_fecha,temp_supply_1,temp_supply_2,return_air,evaporation_coil,condensation_coil,compress_coil_1,compress_coil_2,ambient_air,cargo_1_temp,cargo_2_temp,cargo_3_temp,cargo_4_temp,relative_humidity,avl,suction_pressure,discharge_pressure,line_voltage,line_frequency,consumption_ph_1,consumption_ph_2,consumption_ph_3,co2_reading,o2_reading,evaporator_speed,condenser_speed,battery_voltage,power_kwh,power_trip_reading,power_trip_duration,suction_temp,discharge_temp,supply_air_temp,return_air_temp,dl_battery_temp,dl_battery_charge,power_consumption,power_consumption_avg,alarm_present,capacity_load,power_state,controlling_mode,humidity_control,humidity_set_point,fresh_air_ex_mode,fresh_air_ex_rate,fresh_air_ex_delay,set_point_o2,set_point_co2,defrost_term_temp,defrost_interval,water_cooled_conde,usda_trip,evaporator_exp_valve,suction_mod_valve,hot_gas_valve,economizer_valve,ethylene,stateProcess,stateInyection,timerOfProcess,modelo,alarm_number,NA,ripener_prueba,defrost_prueba,sp_ethyleno,extra_1,extra_2
11,LOSU4764023,Reefer,1,"TOTTUS PUENTE PIEDRA","2023-03-17 11:21:14","2023-03-22 17:16:03",11,1,11,-15,-11.9803,-77.1226,"2023-11-23 18:44:32",21.9,0,24.1,22.3,0,0,0,22.2,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69,1,1,0,254,0,32766,3276.6,3276.6,3276.6,18,6,0,0,255,255,255,255,0,0,0,0,THERMOKING,0,NA,2,2,0,0,0
12," ZGRU7216000",Reefer,1,NAZCA,"2023-03-17 16:37:52","2023-03-22 17:16:23",12,1,16,-8.5,-11.9803,-77.1226,"2023-03-23 19:33:23",4.3,NULL,9.8,2.6,NULL,NULL,NULL,29.8,11.1,17.3,9.8,10.8,76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,1,"NO OPTIMIZED",NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
13," ZGRU7214000",Reefer,1,NAZCA,"2023-03-17 16:47:23","2023-03-22 17:16:31",12,1,17,-3.5,-11.9803,-77.1226,"2023-03-24 13:16:26",-0.4,NULL,-0.8,-0.5,NULL,NULL,NULL,32.5,-3277,-3277,-3277,-3277,86,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
14,ZGRU1320227,Madurador,1,NESTLE-Barranca,"2023-03-17 18:09:27","2024-05-17 13:48:57",50,1,19,-25,-11.9803,-77.1226,"2024-07-19 15:25:31",-32.5,-3277,-25.5,-35,24,60.1,-3276.9,17.9,0,-38.5,-38.5,-38.5,50,32766,3276.6,3276.6,445,60,8.6,8.5,8.2,25.4,3276.6,30,100,0,11953.2,11948.3,0,3276.6,3276.6,6521.1,6528.1,27.4,0,5.21,1.87,0,100,1,1,0,254,0,32766,3276.6,3276.6,3276.6,18,6,0,0,255,255,255,255,320,0,0,0,THERMOKING,0,NA,2,2,0,0,0
15,ZGRUM2245761,Madurador,1,"Sin Informacion","2023-03-20 09:41:28","2023-03-20 09:41:28",1,1,22,18,-11.9803,-77.1226,"2023-04-21 09:29:04",0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1011010,0,0,0,20.7,3,0,0,0,0,0,0,0,0,0,RESET,"NO INJECTING",0,THERMOKING,NULL,NA,1,1,0,0,0
17,ZGRU1090804,Madurador,1,USA,"2023-03-21 14:21:43","2023-11-22 10:35:51",22,1,33,18,35.7396,-119.238,"2024-06-11 22:41:38",36.5,-3277,36.6,36.3,35.5,34.8,-3276.9,34.1,0,0,0,0,32766,32767,3276.6,3276.6,474,32760,0,0,0,25.5,3276.7,0,0,0,20801.8,4.1,0,3276.6,3276.6,36.5,36.6,42.7,0,0.01,0.04,0,255,0,4,1,90,0,32766,3276.6,3276.6,3276.6,18,0,0,0,255,255,255,255,1.5,0,0,0,THERMOKING,NULL,NA,2,2,-1,1,0
18,LOSU6249659,Reefer,1,"Sin Informacion","2023-03-24 10:02:07","2023-03-24 10:02:07",1,1,34,-19,-11.9803,-77.1226,"2023-03-25 10:12:47",24.3,NULL,32.2,24.6,NULL,NULL,NULL,28.8,-3277,-3277,-3277,-3277,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
19,TEST1234567,Reefer,1,"Sin Informacion","2023-03-27 09:28:27","2023-03-27 09:28:27",1,1,105,-25,-12.1729,-77.012,"2023-08-16 10:48:30",24.1,NULL,24.3,23.4,NULL,NULL,NULL,24.3,-3277,-3277,-3277,-3277,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,OPTIMIZED,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
20,ZGRU1234567,Reefer,1,"Sin Informacion","2023-03-28 13:49:54","2023-03-28 13:49:54",1,1,112,-40,-11.9803,-77.1226,"2024-02-12 17:10:26",26.9,-3277,27.1,27,-3277.2,-3277.2,-3276.9,NULL,0,0,0,0,32766,32767,3276.6,3276.6,32766,32760,35,35,35,51,3276.6,0,0,0,20186.7,0,0,3276.6,3276.6,26.9,27.1,28.11,0,0.01,0,1,156,1,1,0,254,0,32766,3276.6,3276.6,3276.6,18,6,0,0,255,255,255,255,0,3,0,3,THERMOKING,0,NA,2,2,40,0,0
21,TEST0000000,Madurador,1,"Sin Informacion","2023-03-28 14:35:10","2023-03-28 14:35:10",1,1,14,0,-11.9803,-77.1226,"2023-03-28 14:35:10",0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WAIT,IDLE,0,THERMOKING,NULL,NA,1,1,0,0,0
