id,nombre_contenedor,tipo,estado,descripcionC,created_at,updated_at,empresa_id,generador_id,telemetria_id,set_point,latitud,longitud,ultima_fecha,temp_supply_1,temp_supply_2,return_air,evaporation_coil,condensation_coil,compress_coil_1,compress_coil_2,ambient_air,cargo_1_temp,cargo_2_temp,cargo_3_temp,cargo_4_temp,relative_humidity,avl,suction_pressure,discharge_pressure,line_voltage,line_frequency,consumption_ph_1,consumption_ph_2,consumption_ph_3,co2_reading,o2_reading,evaporator_speed,condenser_speed,battery_voltage,power_kwh,power_trip_reading,power_trip_duration,suction_temp,discharge_temp,supply_air_temp,return_air_temp,dl_battery_temp,dl_battery_charge,power_consumption,power_consumption_avg,alarm_present,capacity_load,power_state,controlling_mode,humidity_control,humidity_set_point,fresh_air_ex_mode,fresh_air_ex_rate,fresh_air_ex_delay,set_point_o2,set_point_co2,defrost_term_temp,defrost_interval,water_cooled_conde,usda_trip,evaporator_exp_valve,suction_mod_valve,hot_gas_valve,economizer_valve,ethylene,stateProcess,stateInyection,timerOfProcess,modelo,alarm_number,NA,ripener_prueba,defrost_prueba,sp_ethyleno,extra_1,extra_2
35,ZGRU7263904,Madurador,1,CENCOSUD,"2023-04-17 12:07:44","2024-03-13 16:57:40",17,1,124,10,-11.9803,-77.1226,"2024-07-18 21:38:30",9.9,-3277,12,12.5,42.3,93,-3276.9,16.3,0,-38.5,-38.5,-38.5,84,32766,3276.6,3276.6,451,60,9.3,9.3,8.2,25.4,3276.6,30,9,0,50426.1,36129.2,0,3276.6,3276.6,10,12,27.94,0,5.72,3.61,0,18,1,1,0,254,0,32766,3276.6,3276.6,3276.6,18,2,0,0,255,255,255,255,0,0,0,0,THERMOKING,0,NA,2,2,0,0,0
36,ZGRU6578922,Madurador,1,"CENCOSUD SANTA ANITA","2023-04-17 12:08:01","2024-04-04 09:27:45",17,1,125,4,-11.9803,-77.1226,"2024-07-19 15:25:11",3.8,-3277,7.9,7.4,38.1,79.6,-3276.9,22.8,0,-38.5,-38.5,-38.5,73,32766,3276.6,3276.6,457,60,4.6,4.7,4.4,25.4,3276.6,30,12,0,32886.7,20689.3,0,3276.6,3276.6,3.9,7.9,40.44,0,0.97,2.57,0,25,1,1,0,254,0,32766,3276.6,3276.6,3276.6,18,2,0,0,255,255,255,255,0,0,0,0,THERMOKING,0,NA,2,2,0,0,0
37,ZGRU6576283,Madurador,1,"CENCOSUD SANTA ANITA","2023-04-17 12:09:20","2024-04-04 09:28:59",17,1,126,4,-11.9803,-77.1226,"2024-07-19 15:25:19",3.7,-3277,7.8,7.9,39.1,77.9,-3276.9,23.7,0,-38.5,-38.5,-38.5,70,32766,3276.6,3276.6,456,60,4.5,4.7,4.4,25.4,3276.6,30,12,0,32303.9,19994,0,3276.6,3276.6,3.9,7.8,42.5,0,0.97,2.48,0,25,1,1,0,254,0,32766,3276.6,3276.6,3276.6,18,6,0,0,255,255,255,255,0,0,0,0,THERMOKING,0,NA,2,2,0,0,0
38,ZGRU7281370,Reefer,1,"Sin Informacion","2023-04-17 12:09:29","2023-04-17 12:09:29",16,1,127,-7,-12.0478,-76.9526,"2023-04-17 17:20:07",-6.9,NULL,-1,-1,NULL,NULL,NULL,26.7,0,0,0,0,52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,"BULB MODE HIGH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
39,ZGRU6636340,Reefer,1,"Sin Informacion","2023-04-17 12:10:51","2023-04-17 12:10:51",16,1,128,10,-12.0478,-76.9526,"2023-05-13 12:55:20",9.9,NULL,15.1,12.3,NULL,NULL,NULL,22.9,0,0,0,0,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,3,"BULB MODE HIGH",NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
40,ZGRU0505228,Madurador,1,"CENCOSUD SANTA ANITA","2023-04-17 12:11:29","2024-04-04 09:29:21",16,1,129,10,-11.9803,-77.1226,"2024-07-19 15:24:54",9.9,-3277,16.7,8,41.1,67.3,-3277,23.1,0,-38.5,-38.5,-38.5,69,32766,3276.6,3276.6,453,59,10.3,10,9.4,25.4,3276.6,30,46,0,75006.7,18678.9,0,3276.6,3276.6,10,16.7,0.29,0,6.43,5.89,0,41,1,1,0,254,0,32766,3276.6,3276.6,3276.6,18,6,0,0,255,255,255,255,0,0,0,0,THERMOKING,0,NA,2,2,0,0,0
41,ZGRU1148635,Reefer,1,"PLAZA VEA VENTANILLA","2023-04-17 12:47:06","2023-05-02 16:51:32",18,1,130,-30.2,-11.8747,-77.1284,"2024-07-19 15:25:23",-13.4,NULL,-8.7,-8.2,NULL,NULL,NULL,22.8,-3277,-3277,-3277,-3277,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,"NO OPTIMIZED",NULL,NULL,NULL,NULL,NULL,NULL,NULL,18,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NA,1,1,0,0,0
42,ZGRU980324-3,Madurador,1,"Sin Informacion","2023-04-17 13:37:13","2023-04-17 13:37:13",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
43,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 13:46:03","2023-04-17 15:57:51",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
44,ZGRU481053-5,Madurador,1,"Sin Informacion","2023-04-17 13:56:12","2023-04-17 13:56:12",16,1,133,20,-11.5495,-77.275,"2023-05-13 11:43:00",22,22,22.2,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,1,18,1,0,0,0,0,0,0,0,Pause,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
45,ZGRU481346-8,Madurador,0,"Sin Informacion","2023-04-17 13:57:35","2023-04-17 16:06:34",16,1,134,20,-11.5495,-77.275,"2023-05-13 12:53:59",22.9,22.9,23.4,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0,0,22.9,22.9,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,2,18,1,0,0,0,0,0,0,0,Run,Injecting,0,Thermoking,NULL,NA,2,2,0,0,0
46,ZGRU980390-0,Madurador,0,"Sin Informacion","2023-04-17 13:59:32","2023-04-17 16:04:54",16,1,135,20,-11.5495,-77.275,"2023-05-13 12:55:07",22.4,22.4,22.7,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,25.4,20.6,0,0,0,0,0,0,0,0,22.4,22.4,0,0,0,0,0,0,0,Optimized,1,65,0,0,0,0,0,18,1,0,0,0,0,0,0,0,Reset,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
47,ZGRU980364-4,Madurador,1,"Sin Informacion","2023-04-17 14:00:11","2023-04-17 14:00:11",16,1,136,20,-11.5495,-77.275,"2023-05-13 12:54:12",22.6,22.6,22.8,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,25.4,76.8,0,0,0,0,0,0,0,0,22.6,22.6,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,0,18,1,0,0,0,0,0,0,0,Reset,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
48,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:02:25","2023-04-17 15:57:46",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
49,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:03:40","2023-04-17 15:57:41",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
50,ZGRU980409-1,Madurador,0,"Sin Informacion","2023-04-17 14:05:06","2023-04-17 15:50:12",16,1,139,12,-11.5495,-77.275,"2023-05-09 18:42:26",19,19,19.2,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,25.4,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,Optimized,1,65,0,0,0,0,1,18,1,0,0,0,0,0,0,0,Pause,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
51,ZGRU481053-5,Madurador,0,"Sin Informacion","2023-04-17 14:06:46","2023-04-17 16:03:03",16,1,133,20,-11.5495,-77.275,"2023-05-13 11:43:00",22,22,22.2,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,1,18,1,0,0,0,0,0,0,0,Pause,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
52,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:07:32","2023-04-17 15:57:36",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
53,ZGRU573060-4,Madurador,0,"Sin Informacion","2023-04-17 14:08:01","2023-04-17 16:08:06",16,1,142,20,-11.5495,-77.275,"2023-05-13 12:55:52",23,23,23.1,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,25.4,20.7,0,0,0,0,0,0,0,0,23,23,0,0,0,0,0,0,0,Optimized,1,65,0,0,0,0,0,18,1,0,0,0,0,0,0,0,Run,Injecting,0,Thermoking,NULL,NA,2,2,0,0,0
54,ZGRU481346-8,Madurador,0,"Sin Informacion","2023-04-17 14:08:02","2023-04-17 16:06:27",16,1,134,20,-11.5495,-77.275,"2023-05-13 12:53:59",22.9,22.9,23.4,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0,0,22.9,22.9,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,2,18,1,0,0,0,0,0,0,0,Run,Injecting,0,Thermoking,NULL,NA,2,2,0,0,0
55,ZGRU560248-1,Madurador,0,"Sin Informacion","2023-04-17 14:08:27","2023-04-17 16:07:25",16,1,144,0,-11.5495,-77.275,"2023-05-13 12:53:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Optimized,1,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,Run,Injecting,0,Thermoking,NULL,NA,2,2,0,0,0
56,ZGRU980390-0,Madurador,0,"Sin Informacion","2023-04-17 14:09:47","2023-04-17 16:04:48",16,1,135,20,-11.5495,-77.275,"2023-05-13 12:55:07",22.4,22.4,22.7,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,25.4,20.6,0,0,0,0,0,0,0,0,22.4,22.4,0,0,0,0,0,0,0,Optimized,1,65,0,0,0,0,0,18,1,0,0,0,0,0,0,0,Reset,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
57,ZGRU980364-4,Madurador,0,"Sin Informacion","2023-04-17 14:10:24","2023-04-17 16:01:33",16,1,136,20,-11.5495,-77.275,"2023-05-13 12:54:12",22.6,22.6,22.8,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,25.4,76.8,0,0,0,0,0,0,0,0,22.6,22.6,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,0,18,1,0,0,0,0,0,0,0,Reset,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
58,NULL,Reefer,0,"Sin Informacion","2023-04-17 14:15:28","2023-04-17 14:30:19",16,1,NULL,0,NULL,NULL,"2023-04-17 14:15:28",0,NULL,0,0,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NA,1,1,0,0,0
59,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:17:35","2023-04-17 15:57:24",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
60,ZGRU481346-8,Madurador,0,"Sin Informacion","2023-04-17 14:18:23","2023-04-17 16:06:22",16,1,134,20,-11.5495,-77.275,"2023-05-13 12:53:59",22.9,22.9,23.4,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0,0,22.9,22.9,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,2,18,1,0,0,0,0,0,0,0,Run,Injecting,0,Thermoking,NULL,NA,2,2,0,0,0
61,ZGRU560248-1,Madurador,1,"Sin Informacion","2023-04-17 14:18:48","2023-04-17 14:18:48",16,1,144,0,-11.5495,-77.275,"2023-05-13 12:53:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Optimized,1,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,Run,Injecting,0,Thermoking,NULL,NA,2,2,0,0,0
62,ZGRU980390-0,Madurador,0,"Sin Informacion","2023-04-17 14:20:09","2023-04-17 16:04:43",16,1,135,20,-11.5495,-77.275,"2023-05-13 12:55:07",22.4,22.4,22.7,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,25.4,20.6,0,0,0,0,0,0,0,0,22.4,22.4,0,0,0,0,0,0,0,Optimized,1,65,0,0,0,0,0,18,1,0,0,0,0,0,0,0,Reset,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
63,ZGRU980364-4,Madurador,0,"Sin Informacion","2023-04-17 14:20:46","2023-04-17 16:01:25",16,1,136,20,-11.5495,-77.275,"2023-05-13 12:54:12",22.6,22.6,22.8,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,25.4,76.8,0,0,0,0,0,0,0,0,22.6,22.6,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,0,18,1,0,0,0,0,0,0,0,Reset,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
64,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:21:19","2023-04-17 15:57:18",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
65,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:22:43","2023-04-17 15:57:13",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
66,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:23:50","2023-04-17 15:56:04",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
67,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:24:07","2023-04-17 15:57:08",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
68,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:25:17","2023-04-17 15:56:55",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
69,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:25:34","2023-04-17 15:56:48",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
70,ZGRU980409-1,Madurador,1,"Sin Informacion","2023-04-17 14:25:41","2023-04-17 14:25:41",16,1,139,12,-11.5495,-77.275,"2023-05-09 18:42:26",19,19,19.2,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,25.4,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,Optimized,1,65,0,0,0,0,1,18,1,0,0,0,0,0,0,0,Pause,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
71,ZGRU481053-5,Madurador,0,"Sin Informacion","2023-04-17 14:27:13","2023-04-17 16:02:57",16,1,133,20,-11.5495,-77.275,"2023-05-13 11:43:00",22,22,22.2,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,1,18,1,0,0,0,0,0,0,0,Pause,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
72,ZGRU481346-8,Madurador,0,"Sin Informacion","2023-04-17 14:28:40","2023-04-17 16:06:14",16,1,134,20,-11.5495,-77.275,"2023-05-13 12:53:59",22.9,22.9,23.4,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0,0,22.9,22.9,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,2,18,1,0,0,0,0,0,0,0,Run,Injecting,0,Thermoking,NULL,NA,2,2,0,0,0
73,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:30:17","2023-04-17 15:56:43",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
74,ZGRU980390-0,Madurador,0,"Sin Informacion","2023-04-17 14:30:27","2023-04-17 16:04:38",16,1,135,20,-11.5495,-77.275,"2023-05-13 12:55:07",22.4,22.4,22.7,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,25.4,20.6,0,0,0,0,0,0,0,0,22.4,22.4,0,0,0,0,0,0,0,Optimized,1,65,0,0,0,0,0,18,1,0,0,0,0,0,0,0,Reset,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
75,ZGRU980364-4,Madurador,0,"Sin Informacion","2023-04-17 14:31:05","2023-04-17 16:01:20",16,1,136,20,-11.5495,-77.275,"2023-05-13 12:54:12",22.6,22.6,22.8,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,25.4,76.8,0,0,0,0,0,0,0,0,22.6,22.6,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,0,18,1,0,0,0,0,0,0,0,Reset,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
76,ZGRU980409-1,Madurador,0,"Sin Informacion","2023-04-17 14:35:55","2023-04-17 15:59:28",16,1,139,12,-11.5495,-77.275,"2023-05-09 18:42:26",19,19,19.2,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,25.4,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,Optimized,1,65,0,0,0,0,1,18,1,0,0,0,0,0,0,0,Pause,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
77,ZGRU481053-5,Madurador,0,"Sin Informacion","2023-04-17 14:37:33","2023-04-17 16:02:51",16,1,133,20,-11.5495,-77.275,"2023-05-13 11:43:00",22,22,22.2,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,1,18,1,0,0,0,0,0,0,0,Pause,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
78,ZGRU481346-8,Madurador,0,"Sin Informacion","2023-04-17 14:39:05","2023-04-17 16:06:08",16,1,134,20,-11.5495,-77.275,"2023-05-13 12:53:59",22.9,22.9,23.4,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0,0,22.9,22.9,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,2,18,1,0,0,0,0,0,0,0,Run,Injecting,0,Thermoking,NULL,NA,2,2,0,0,0
79,ZGRU980390-0,Madurador,0,"Sin Informacion","2023-04-17 14:40:48","2023-04-17 16:04:33",16,1,135,20,-11.5495,-77.275,"2023-05-13 12:55:07",22.4,22.4,22.7,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,25.4,20.6,0,0,0,0,0,0,0,0,22.4,22.4,0,0,0,0,0,0,0,Optimized,1,65,0,0,0,0,0,18,1,0,0,0,0,0,0,0,Reset,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
80,ZGRU980364-4,Madurador,0,"Sin Informacion","2023-04-17 14:41:25","2023-04-17 16:01:15",16,1,136,20,-11.5495,-77.275,"2023-05-13 12:54:12",22.6,22.6,22.8,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,25.4,76.8,0,0,0,0,0,0,0,0,22.6,22.6,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,0,18,1,0,0,0,0,0,0,0,Reset,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
81,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:41:28","2023-04-17 15:56:39",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
82,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:43:59","2023-04-17 15:54:57",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
83,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:45:15","2023-04-17 15:54:42",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
84,ZGRU980409-1,Madurador,0,"Sin Informacion","2023-04-17 14:46:17","2023-04-17 15:59:23",16,1,139,12,-11.5495,-77.275,"2023-05-09 18:42:26",19,19,19.2,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,25.4,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,Optimized,1,65,0,0,0,0,1,18,1,0,0,0,0,0,0,0,Pause,"Not Injecting",24,Thermoking,NULL,NA,2,2,0,0,0
85,ZGRU481346-8,Madurador,0,"Sin Informacion","2023-04-17 14:49:20","2023-04-17 16:06:02",16,1,134,20,-11.5495,-77.275,"2023-05-13 12:53:59",22.9,22.9,23.4,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,25.3,0,0,0,0,0,0,0,0,0,22.9,22.9,0,0,0,0,0,0,0,Optimized,1,95,0,0,0,0,2,18,1,0,0,0,0,0,0,0,Run,Injecting,0,Thermoking,NULL,NA,2,2,0,0,0
86,ZGRU980324-3,Madurador,0,"Sin Informacion","2023-04-17 14:50:25","2023-04-17 15:54:33",16,1,131,4,21.8543,-100.894,"2023-05-13 12:52:24",4,4,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,Optimized,1,4,0,0,0,4,4,18,1,0,0,0,0,0,0,4,Run,Injecting,12,Thermoking,NULL,NA,2,2,0,0,0
